StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,PATNA,ATHAMALGOLA,BAHADURPUR,2558,2558,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,KALYANPUR,1867,1867,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,KARJAN,3088,3088,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,"PHULELPUR MEAURA",1208,1208,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,"RAMNAGAR DIYARA",1129,1129,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,"RAMNAGAR KORARI KOCHHAR",2462,2462,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,SABNIMA,1941,1941,"5/19/2020 12:00:00 AM"
Bihar,PATNA,ATHAMALGOLA,USMANPUR,2196,2196,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"ALIPUR BIHTA",2020,2020,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"BIDHIPUR NARAULI",1602,1602,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"CHAMPA PUR",2841,2841,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"CHIRAIYA RUPAS",393,393,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,DOMA,2645,2645,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,GHANGAH,838,838,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,GHOSWARI,1696,1696,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"HARDASPUR DIARA",260,260,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"HIDAYATPUR SAIDPUR",1704,1704,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"KALA DIARA",2862,2862,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,KARNAUTI,2407,2407,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,MANJHAULI,1439,1439,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,MISSI,1268,1268,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"MOGAL PURA",1646,1646,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"RUPAS MAHAJI",1512,1512,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BAKHTIARPUR,"SATBHAIYA RAM NAGAR",1413,1413,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,AGWANPUR,1900,1900,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,"BERHANA EAST",1828,1828,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,"BERHANA WEST",1801,1801,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,BHATGAWN,2662,2662,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,"DHANWAN MOBARAKPUR",2129,2129,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,EKDANGA,2070,2070,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,IBRAHIMPUR,3566,3566,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,NADAWAN,762,762,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,NARUADA,2616,2616,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,"RAHIMPUR RUPAS",2366,2366,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,RANGBIGHA,1123,1123,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,"SARKATTI   SAIDPUR",1384,1384,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BARH,SHOHARI,2694,2694,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BELCHCHI,"AUNDOULI DARWESHPURA",1851,1851,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BELCHCHI,BARAH,1591,1591,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BELCHCHI,BELCHHI,1675,1675,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BELCHCHI,FATEHPUR,2170,2170,"5/19/2020 12:00:00 AM"
Bihar,PATNA,BELCHCHI,KORARI,1906,1906,"5/19/2020 12:00:00 AM"
