StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Andhra Pradesh","WEST GODAVARI",ACHANTA,"A VEMAVARAM",684,684,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,ACHANTA,3713,3713,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,AYODYALANKA,462,462,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,BIMALAPURAM,940,940,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,KANDHARAVALLI,454,454,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,KARUGORAMILLI,874,874,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,KODAMANCHALI,1153,1153,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,KODERU,577,577,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,PEDAMALLAM,686,686,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,PENUMANCHALI,1256,1256,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,"SESHAMMA CHERUVU",384,384,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ACHANTA,VALLURU,1313,1313,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,A.I.BHEEMAVARAM,350,350,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,AJJAMURU,671,671,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,AKIVEEDU,5169,5169,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,APPARAOPETA,233,233,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,CHERUKUMILLI,710,710,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,CHINAKAPAVARAM,472,472,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,CHINAMILLIPADU,441,441,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,DUMPAGADAPA,972,972,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,GUMMULURU,380,380,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,KOLLAPARRU,260,260,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,KUPPANAPUDI,613,613,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,MANDAPADU,311,311,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,PEDAKAPAVARAM,842,842,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,RAJULAPET,93,93,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,SIDDAPURAM,387,387,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",AKIVIDU,TARATAVAU,370,370,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,ARAVALLI,964,964,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,ATTILI,839,839,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,BALLIPADU,465,465,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,DANTHUPALLE,58,58,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,EDURU,478,478,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,GUMMAMPADU,453,453,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,K.SAMUDRAPUGATTU,509,509,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,KANCHUMARRU,564,564,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,KOMMARA,306,306,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,LAKSHMINARAYANAPURAM,590,590,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,MANCHILI,828,828,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,PALI,425,425,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,PALURU,179,179,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,SKINNERAPURAM,467,467,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,TIRUPATIPURAM,788,788,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,UNIKILI,949,949,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,VARADALLAPALEM,538,538,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",ATTILI,VARIGHEDU,736,736,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,AGADALANKA,1030,1030,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,AMBERPET,421,421,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,BHIMADOLE,2032,2032,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,CHETTUNNAPADU,214,214,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,DUDDEPUDI,258,258,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,GUNDUGOLANU,1652,1652,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,KODURUPADU,244,244,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,KORUKOLLU,100,100,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,KURELLAGUDEM,211,211,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,LAXMIPURAM,197,197,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,POLASANIPALLI,403,403,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,PULLA,954,954,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMADOLE,SURAPPAGUDEM,228,228,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,ANAKODERU,411,411,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,ANNAVARAM,669,669,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,BETHAPUDI,569,569,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,CHINAMIRAM,669,669,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,DEYYALATIPPA,326,326,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,DIRUSUMARRU,1740,1740,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,DONGAPINDI,402,402,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,GOLLAVANITIPPA,689,689,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,GUTLAPADU,667,667,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,JONNALAGARUVU,167,167,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,KOMARADA,225,225,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,"KOMATITIPPA (NORTH)",77,77,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,KOTHAPUSALAMARRU,454,454,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,LOSARI,292,292,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,"LVN PURAM",394,394,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,NAGIDIPALEM,571,571,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,NARASIMHAPURAM,347,347,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,PEDAGARUVU,376,376,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,RAYALAM,942,942,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,SRIRAMAPURAM,192,192,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,TADERU,315,315,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,THOKATIPPA,190,190,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,TUNDURRU,382,382,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,VEMPA,587,587,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BHIMAVARAM,YENAMADURRU,343,343,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,ACHIYAPALEM,278,278,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,ALIVERU,173,173,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,ANTHERVEDIGUDEM,444,444,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,BUTTAIGUDEM,1310,1310,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,DORAMAMIDI,1153,1153,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,JAINAVARIGUDEM,690,690,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,K.NAGAVARAM,232,232,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,KAMAYYAKUNTA,802,802,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,KORSAVARIGUDEM,420,420,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,KOTARAMACHANDRAPURAM,579,579,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,KOYARAJAHMUNDRY,652,652,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,LAXMUDUGUDEM,546,546,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,MANGAIPALEM,471,471,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,MUNJULURU,307,307,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,NIMMALAGUDEM,278,278,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,NOOTHIRAMANNAPALEM,213,213,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,PULIRAMANNAGUDEM,340,340,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,R.GANAPAVARAM,971,971,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,RAJANAGARAM,301,301,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,RAVVARIGUDEM,338,338,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",BUTTAYAGUDEM,SEETHAPPAGUDEM,573,573,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,BRAHMANAGUDEM,1228,1228,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,CHAGALLU,2449,2449,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,CHANDRAVARAM,553,553,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,CHIKKALA,1779,1779,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,DHARAVARAM,720,720,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,GOWRIPALLI,278,278,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,KALAVALAPALLI,1128,1128,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,MALLAVARAM,603,603,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,MARKUNDAPADU,690,690,"5/19/2020 12:00:00 AM"
"Andhra Pradesh","WEST GODAVARI",CHAGALLU,NANDIGAMPADU,177,177,"5/19/2020 12:00:00 AM"
